cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
+,+,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,22,-18750.7128,37545.43966
+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,31,-18742.31574,37546.65906
+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,23,-18750.39218,37546.79969
+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,24,-18750.75444,37549.52555
+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,27,-18748.20514,37550.4313
+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,25,-18750.83533,37551.68872
+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,29,-18748.68383,37555.39184
+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,21,-18990.49808,38023.009
+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,21,-18991.13681,38024.28646
+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,27,-18985.87734,38025.7757
+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,22,-18991.2884,38026.59085
+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,19,-19049.0351,38136.08075
+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,25,-19043.16563,38136.34932
+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,21,-19048.94755,38139.90793
+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,21,-19323.39565,38688.80413
+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-19547.90018,39125.80702
+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-19550.21848,39128.44279
+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,-19549.56295,39131.13345
+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,16,-19549.79845,39131.60446
+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,18,-19548.10229,39132.21408
+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,19,-19548.95537,39135.92129
+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-19606.72894,39235.46155
NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-19608.11359,39236.23024
+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-19606.8236,39239.65226
+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,14,-27510.46753,55048.94089
+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,16,-27509.81085,55051.62926
+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,17,-27510.00453,55054.01755
+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-27685.00916,55392.02198
NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-27686.00537,55394.01441
+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-27685.50316,55395.01066
+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,-27685.44689,55398.89962
+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,15,-27684.90242,55399.8115
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-27727.75931,55471.52061
+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,13,-27729.07426,55484.15358
