cond(DC),cond(Diversity),cond(Position),cond(SMOOTH),cond(DC:Diversity),cond(DC:Position),cond(DC:SMOOTH),cond(Diversity:Position),cond(Diversity:SMOOTH),cond(Position:SMOOTH),cond(DC:Diversity:Position),cond(DC:Diversity:SMOOTH),cond(DC:Position:SMOOTH),cond(Diversity:Position:SMOOTH),cond(DC:Diversity:Position:SMOOTH),df,logLik,AICc
+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-1070.703453,2169.459506
+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,15,-1070.468062,2170.996245
NA,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,12,-1073.517524,2171.074112
+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,18,-1070.413727,2176.913157
+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,23,-1068.174548,2182.487512
+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,27,-1067.846393,2189.88245
+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,30,-1067.688234,2195.609872
+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-1215.878424,2443.767358
NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-1218.636039,2445.277081
+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-1215.693677,2445.401369
+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-1215.624716,2451.27697
