,cond((Int)),disp((Int)),cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
129,1.343293262,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-22394.80268,44811.60903
130,0.306980109,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,25,-23416.64682,46883.3117
131,0.27289444,+,+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,19,-23437.57067,46913.15191
132,0.271883147,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,21,-23435.63054,46913.27392
133,0.284964348,+,+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,19,-23441.83836,46921.68728
134,0.292421,+,NA,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,16,-23446.25983,46924.52721
135,0.273842592,+,+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,17,-23445.69398,46925.39645
136,0.208654937,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-23794.08261,47618.1719
137,0.196097108,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,15,-23794.6072,47619.22106
138,0.187434862,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,17,-23792.85092,47619.71035
139,0.198627577,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-23800.96383,47627.93271
140,0.217073133,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-23803.1643,47630.33294
141,0.679635702,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-23925.55789,47871.11885
142,0.438763313,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,19,-42745.34931,85528.70918
143,0.478014506,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,16,-42752.01276,85536.03308
144,0.464165067,+,+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,15,-42756.02306,85542.05278
145,0.468826264,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,-42985.30002,85998.60588
146,0.470723016,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-42987.64491,85999.29414
147,0.459370648,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,15,-42986.88177,86003.77021
148,0.481336186,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-42992.46541,86006.93449
149,0.459425118,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-42990.7689,86007.54285
150,0.702743721,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-43101.38846,86222.77997
151,0.709980735,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-43104.1427,86226.2879
152,0.690468633,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-43102.80009,86227.60385
153,0.397023502,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-43893.01583,87802.03365
