cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.21286743919491566,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5299.43276480089,-10580.820416819826,1137.7036721024597,2.26015422425479e-248
-0.21357524701508926,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5299.451552244298,-10578.847952821512,1139.6761361007739,8.42991041992213e-249
-0.23152816679274946,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,12,5301.173485740381,-10578.2687171542,1140.2553717680858,6.31020593276264e-249
-0.22442267887931985,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,13,5301.266546421388,-10576.44177322411,1142.082315698175,2.53120720968227e-249
-0.22512967188026228,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,5301.285008545543,-10574.464621858966,1144.05946706332,9.41878177836865e-250
-0.20702782285408713,+,NA,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,12,5299.165187925643,-10574.252121524725,1144.2719673975607,8.46936546449972e-250
-0.21090873001268057,+,+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,13,5299.727914076494,-10573.364508534323,1145.1595803879627,5.43385645740094e-250
-0.2116176245691085,+,+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,14,5299.746735034874,-10571.388074837629,1147.1360140846573,2.02269796534479e-250
-0.22246418289521122,+,+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,17,5301.562648222756,-10568.971604833258,1149.5524840890284,6.04228551849464e-251
-0.22316603660182055,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,18,5301.581059346239,-10566.990302565877,1151.533786356409,2.24371102758919e-251
-0.22369968953937794,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,22,5301.829507548093,-10559.404551932997,1159.1195369892885,5.05524376232447e-253
-0.26306045501333336,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5210.064350994648,-10414.12269598329,1304.4013929389967,1.43280775079468e-284
-0.2669449315204901,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5210.603321916595,-10413.196631317545,1305.3274576047406,9.01769484882077e-285
-0.25602157478483767,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5210.1565590489745,-10412.303105582305,1306.220983339981,5.7685795620679e-285
-0.25990055349092434,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5210.69556050788,-10411.37609848196,1307.1479904403259,3.62887369627648e-285
-0.2606094937690725,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5210.713558933474,-10409.406081052522,1309.1180078697635,1.35515197796841e-285
