cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.045716324928661206,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,20,5872.6627264006265,-11705.11434448258,13.409744439706628,0.000310071953494813
-0.04559835001231459,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,20,5872.656526172412,-11705.10194402615,13.42214489613616,0.000308155384343069
-0.040335324184858454,+,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,20,5872.515994425081,-11704.820880531488,13.703208390797954,0.00026775500529046
-0.06812684056658616,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,+,NA,NA,24,5876.219919813468,-11704.137952834482,14.386136087803607,0.000190301290284708
-0.06287818757942767,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,24,5876.079300433907,-11703.85671407536,14.667374846925668,0.000165337555492629
-0.05630387751559781,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,23,5874.891349631206,-11703.505033266436,15.019055655850025,0.000138677177849881
-0.042823980570790225,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,22,5873.817641209286,-11703.380819255384,15.143269666901688,0.000130326359862764
-0.0510255748044378,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,23,5874.749919676857,-11703.222173357737,15.301915564548835,0.000120387874319748
-0.050991115464799716,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,23,5874.748271354967,-11703.218876713958,15.305212208328157,0.00012018959980626
-0.04629839438805476,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,21,5872.67925288526,-11703.126228244126,15.397860678160214,0.000114748899601731
-0.046801825477136516,+,+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,23,5874.5466919599885,-11702.815717924,15.708370998285318,9.82476271492175e-05
-0.06881334848385819,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,25,5876.241942319466,-11702.156758317846,16.367330604440212,7.06693033049716e-05
-0.05699812873134174,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,24,5874.913300667342,-11701.52471454223,16.999374380055087,5.15209957172771e-05
-0.05695823454749003,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,24,5874.9116509125815,-11701.52141503271,17.002673889575817,5.14360687829029e-05
-0.04508066431283307,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,22,5872.751642956789,-11701.248822750389,17.275266171896874,4.48823002165926e-05
-0.05168555236040227,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,24,5874.770269942013,-11701.238653091574,17.28543583071223,4.46546606212989e-05
-0.04750268408308114,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,24,5874.569207971517,-11700.836529150582,17.6875597717044,3.65213387333713e-05
-0.04737729316183252,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,24,5874.563035933483,-11700.824185074513,17.699903847773385,3.62966218356226e-05
-0.06760439360912712,+,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,26,5876.313791117767,-11700.274196884415,18.249892037871177,2.75700649129822e-05
-0.057649114227738524,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,25,5874.9336488476265,-11699.540171374167,18.98391754811928,1.91005632546065e-05
-0.05809713778539021,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,27,5876.799654983211,-11699.218645313855,19.305443608431233,1.62640116760228e-05
-0.04807859619925319,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,25,5874.585595061619,-11698.844063802151,19.680025120134815,1.34861608628789e-05
-0.060767336436066396,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,27,5876.318047694508,-11698.255430736448,20.26865818583792,1.00477377084478e-05
-0.05644318230474608,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,26,5875.005058991505,-11697.656732631891,20.867356290395037,7.44839410849963e-06
-0.05878925011726408,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,28,5876.821725012506,-11697.23448502879,21.28960389349595,6.03076972411381e-06
