"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"125",2.24464722965114,"+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,NA,20,106209.910602815,-212379.610097312,1614.23732112761,0
"126",2.24581449230299,"+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,20,106209.910135775,-212379.609163232,1614.23825520772,0
"127",2.22143069543416,"+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,20,106209.651152634,-212379.091196949,1614.75622149024,0
"128",2.23989236848308,"+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,21,106209.939722379,-212377.647167231,1616.20025120847,0
"129",2.24212208842059,"+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,22,106209.945419647,-212375.636376131,1618.21104230839,0
"130",2.23583159857746,"+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,"+",NA,NA,NA,23,106209.700654549,-212373.123643101,1620.72377533797,0
"131",2.25446904270416,"+","+","+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,24,106209.989481292,-212371.677075792,1622.17034264747,0
"132",2.22994093068243,"+","+","+","+","+","+",NA,"+","+","+",NA,NA,"+",NA,NA,NA,24,106209.730308012,-212371.158729231,1622.68868920856,0
"133",2.24855792139688,"+","+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,25,106210.019359116,-212369.711591911,1624.13582652886,0
"134",2.25181638802247,"+","+","+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,26,106210.02833501,-212367.703284669,1626.14413377069,0
"135",1.10749848520004,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105797.497727123,-211586.985441731,2406.86197670878,0
"136",1.09028787460707,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105797.841291717,-211585.6675609,2408.17985753968,0
"137",1.11222243177343,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105797.522961505,-211585.030900475,2408.81651796412,0
"138",1.10621345424425,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105798.189054768,-211584.357072722,2409.49034571776,0
"139",1.0950121377035,"+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105797.866527061,-211583.712017308,2410.13540113156,0
"140",1.10752588109589,"+",NA,"+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,6,105797.554013176,-211583.086989538,2410.76042890098,0
"141",1.11095720085909,"+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105798.214461144,-211582.400866176,2411.44655226378,0
"142",1.09029661833021,"+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,7,105797.897768417,-211581.767480723,2412.07993771689,0
"143",1.09057611180879,"+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105797.889091995,-211581.750127878,2412.09729056092,0
"144",1.10624015385334,"+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,8,105798.245741833,-211580.455402483,2413.39201595672,0
"145",1.10651125172,"+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105798.237056949,-211580.438032715,2413.40938572431,0
"146",1.08585572348781,"+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,8,105797.920390234,-211579.804699285,2414.04271915468,0
"147",1.10177540559876,"+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,9,105798.268475995,-211578.491839208,2415.35557923146,0
"148",1.10463371688273,"+","+","+","+",NA,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,10,105798.279841619,-211576.504531572,2417.34288686785,0
"149",1.2324281021326,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105761.167714983,-211508.307373854,2485.54004458518,0
"150",1.21434191544119,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105761.574040011,-211507.11199884,2486.73541959975,0
"151",1.23710055626516,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105761.175749869,-211506.315418555,2487.53199988406,0
"152",1.21915687431505,"+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,105761.582076568,-211505.119040353,2488.72837808632,0
"153",1.2141855327231,"+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,105761.612125654,-211503.169099642,2490.67831879755,0
"154",1.22320895535152,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,12,105761.615124664,-211499.151995001,2494.69542343801,0
"155",1.23499685570252,"+",NA,"+",NA,"+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,12,105761.212340779,-211498.346427231,2495.50099120807,0
"156",1.22814734495048,"+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,13,105761.623152295,-211497.154984971,2496.69243346795,0
"157",1.2169419529869,"+","+","+",NA,"+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,13,105761.61862993,-211497.145940241,2496.70147819829,0
"158",1.22302359761881,"+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,14,105761.65324059,-211495.201085949,2498.64633249078,0
"159",1.21202038198955,"+","+","+",NA,"+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,14,105761.648724566,-211495.192053899,2498.65536454014,0
"160",1.22577460149295,"+","+","+",NA,"+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,17,105761.659713814,-211489.165736016,2504.68168242311,0
"161",1.22096415344605,"+","+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,18,105761.689852028,-211487.207887929,2506.6395305107,0
"162",1.22912071160318,"+","+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,"+",NA,NA,NA,22,105761.776457327,-211479.29845149,2514.54896694937,0
"163",0.428340198781364,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,105437.634055582,-210869.262105158,3124.58531328157,0
"164",0.412204331130184,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105437.921443076,-210867.832873636,3126.01454480379,0
"165",0.433022958685235,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105437.644063024,-210867.278113533,3126.56930490638,0
"166",0.416719386300392,"+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105437.931378232,-210865.84773393,3127.99968450941,0
"167",0.41265241566918,"+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105437.950098837,-210863.87916086,3129.96825757905,0
