cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-5.7721253138925785,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,58366.2708526975,-116718.51364928277,2641.534174982735,0
-5.780866069468441,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,58369.15212478254,-116718.24909789799,2641.798726367517,0
-5.784128438225407,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,12,58370.68464718895,-116717.29104005134,2642.7567842141725,0
-5.770909515673157,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,58366.27087208788,-116716.5056629931,2643.542161272402,0
-5.78305445027426,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,13,58370.684665717585,-116715.27801181651,2644.769812448998,0
-5.782606600775948,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,58370.692033989646,-116713.27867274717,2646.7691515183396,0
-5.779068427326888,+,+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,13,58369.255434090635,-116712.41954856261,2647.6282757028966,0
-5.778687770133953,+,+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,14,58369.262761436636,-116710.42012764115,2649.6276966243604,0
-5.768740035847162,+,NA,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,12,58366.38238258374,-116708.68651084091,2651.361313424597,0
-5.780847589731428,+,+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,17,58370.79505446693,-116707.4364173216,2652.6114069439063,0
-5.780256963448658,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,18,58370.802247457155,-116705.4326787877,2654.615145477801,0
-5.781099137503475,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,22,58371.072061885156,-116697.88966060712,2662.158163658387,0
-5.602899799926123,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,57720.34302815335,-115432.67604379106,3927.371780474452,0
-5.593824559432244,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,57719.05283440632,-115432.09966280664,3927.948161458873,0
-5.601885093844148,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,57720.34304850635,-115430.6710744789,3929.3767497866065,0
-5.592819941746063,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,57719.052856518196,-115430.09570052075,3929.9521237447625,0
-5.601386555214215,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,57720.34775266928,-115428.67446852414,3931.3733557413652,0
