cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.483239929618987,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,21,59693.39555076633,-119344.55882400626,15.489000259243767,0.000149985310336675
-9.484661253507081,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,18,59690.18872504227,-119344.20563395794,15.842190307565033,0.000125705558382687
-9.485359551109191,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,23,59695.013490590376,-119343.74931518477,16.29850908073422,0.000100061294925521
-9.490772416175343,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,23,59694.974967424765,-119343.67226885355,16.375555411956157,9.62799199856528e-05
-9.497845760316132,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,23,59694.851438681595,-119343.42521136721,16.62261289829621,8.50918310564498e-05
-9.499127797087436,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,23,59694.84406356219,-119343.4104611284,16.637363137109787,8.44665771371087e-05
-9.48194949848083,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,22,59693.397302534926,-119342.54014190666,17.50768235884607,5.46635053439976e-05
-9.484937792906665,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,24,59695.02156223223,-119341.741237672,18.306586593505926,3.66621244597679e-05
-9.486171972150522,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,24,59695.014147636386,-119341.72640848032,18.321415785190766,3.63912949107627e-05
-9.490275313750177,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,24,59694.98325306949,-119341.66461934653,18.383204918980482,3.52841914143485e-05
