formula,Model,Type,AIC,BIC,R2_conditional,R2_marginal,ICC,RMSE,Sigma,BF,Performance_Score
success ~ DC + position + smooth + position:smooth + (1 | dataset_ID),mod_detail_correct_m2,glmmTMB,-11718.060615766039,-11636.237970444712,0.9722177034324717,0.624397638541813,0.9260326893055995,0.04618704531763986,94.60544443494501,0.03278157820522272,0.5651645110684909
success ~ position + smooth + position:smooth + (1 | dataset_ID),mod_detail_correct_m1,glmmTMB,-11718.602343248847,-11643.073747567623,0.9722020964451722,0.6243462079092088,0.9260012699456276,0.04619790192713075,94.5666258852395,1,0.531188192806241
success ~ diversity + position + smooth + position:smooth + (1 | dataset_ID),mod_detail_correct_m3,glmmTMB,-11716.976234212405,-11635.153588891078,0.9722035222078103,0.6246837216594783,0.9259385233299949,0.04619849715611344,94.56793283811734,0.019061601917052414,0.2939551238306223
