"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"32",-1.5199157890988,"+","+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,NA,NA,20,106489.52580593,-212938.840503542,15.5935923435318,0.000159322603150757
"33",-1.53667768932279,"+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,21,106489.860023364,-212937.487769202,16.9463266833336,8.10092971254708e-05
"34",-1.52954986809959,"+","+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,21,106489.660259961,-212937.088242396,17.3458534890087,6.63404969585249e-05
"35",-1.53390591236094,"+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,22,106490.036951942,-212935.819440721,18.6146551641286,3.51772542274438e-05
"36",-1.53066468192372,"+","+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,22,106489.913434028,-212935.572404893,18.8616909921111,3.10898616172625e-05
"37",-1.51155430037364,"+","+","+","+","+",NA,NA,"+",NA,"+","+",NA,NA,NA,NA,NA,22,106489.727463952,-212935.20046474,19.2336311450636,2.58138636026596e-05
"38",-1.52354150086901,"+","+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,22,106489.713510239,-212935.172557315,19.2615385702811,2.54561657787536e-05
"39",-1.53363199905342,"+",NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,"+",NA,22,106489.395769362,-212934.537075561,19.8970203237841,1.85267772997486e-05
"40",-1.53042041598153,"+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,23,106490.053615318,-212933.829564639,20.6045312460919,1.30066614575832e-05
"41",-1.52134390853426,"+","+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,NA,NA,NA,23,106489.868094513,-212933.458523031,20.9755728543969,1.08042636851079e-05
"42",-1.51675384006068,"+","+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,NA,23,106489.764014846,-212933.250363696,21.1837321887724,9.73630005848531e-06
"43",-1.51419788586098,"+","+","+","+","+",NA,NA,"+","+","+","+",NA,NA,NA,NA,NA,23,106489.737862084,-212933.198058172,21.2360377133882,9.48496973339731e-06
"44",-1.52322229635683,"+","+","+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,"+",NA,23,106489.546842407,-212932.816018819,21.6180770665524,7.83568841330423e-06
"45",-1.53558348710474,"+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,"+",NA,NA,24,106490.089722367,-212931.877557941,22.556537944678,4.90109327090201e-06
"46",-1.53297766485603,"+","+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,"+",NA,NA,24,106490.063238351,-212931.82458991,22.6095059748623,4.77299638982116e-06
"47",-1.52652311364607,"+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,24,106489.90427434,-212931.506661887,22.9274339978001,4.07149506638036e-06
"48",-1.52402459633868,"+","+","+","+","+",NA,"+","+","+","+","+",NA,NA,NA,NA,NA,24,106489.878742648,-212931.455598504,22.9784973811475,3.9688587247875e-06
"49",-1.51937076876754,"+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,24,106489.774262136,-212931.24663748,23.1874584052712,3.57511758474848e-06
"50",-1.53283173340889,"+","+","+","+","+",NA,"+",NA,"+","+","+",NA,NA,NA,"+",NA,24,106489.680992293,-212931.060097794,23.3739980911487,3.25674497780072e-06
"51",-1.52836972214277,"+","+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,"+",NA,24,106489.582790166,-212930.863693539,23.5704023465514,2.95212749687447e-06
"52",-1.53813247557068,"+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,25,106490.099305043,-212929.871483765,24.5626121207024,1.79754385614696e-06
"53",-1.52918983283514,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,25,106489.914823465,-212929.502520609,24.9315752759867,1.49472109526313e-06
