"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"88",-1.94386909206226,"+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,106075.790889323,-212131.526626978,822.907468906895,7.87583331267493e-180
"89",-1.92964257790971,"+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,106075.680855056,-212131.306558444,823.127537441324,7.05519855925606e-180
"90",-1.94369490195542,"+",NA,"+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,10,106075.531836118,-212131.008520569,823.425575316069,6.07842606762543e-180
"91",-1.93996937073026,"+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,106075.809735868,-212129.553273139,824.880822745996,2.93621717306838e-180
"92",-1.93557780918851,"+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,106075.723691495,-212129.381184393,825.052911492006,2.69413639003646e-180
"93",-1.9324742677753,"+","+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,11,106075.690630296,-212129.315061996,825.119033889467,2.60652132147614e-180
"94",-1.94588872195458,"+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,106075.852344639,-212127.626434952,826.8076609337,1.12041929209767e-180
"95",-1.94283076358061,"+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,12,106075.819658344,-212127.561062361,826.873033524142,1.08438899266948e-180
"96",-1.93839372553208,"+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,12,106075.733374182,-212127.388494038,827.045601847349,9.94746375181454e-181
"97",-1.93061974066925,"+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,13,106075.950001583,-212125.808683547,828.625412338704,4.51503244859209e-181
"98",-1.94873833254654,"+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,13,106075.862213571,-212125.633107524,828.800988361501,4.13556667363455e-181
"99",-1.93024588330539,"+",NA,"+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,13,106075.592461399,-212125.09360318,829.340492705174,3.15778928826989e-181
"100",-1.94157958950675,"+","+",NA,"+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,14,106076.071800566,-212124.038205899,830.395889985812,1.86297290940503e-181
"101",-1.92676836846579,"+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,14,106075.968401202,-212123.831407171,830.602688714163,1.67996705979104e-181
"102",-1.94181173615519,"+","+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,14,106075.92068796,-212123.735980688,830.698115197214,1.601692598943e-181
"103",-1.91904932092676,"+","+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,14,106075.750706743,-212123.396018254,831.038077631034,1.35131707440296e-181
"104",-1.93296476318758,"+",NA,"+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,NA,14,106075.600041553,-212123.094687874,831.33940801135,1.16231596626993e-181
"105",-1.93771841235204,"+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,15,106076.090359219,-212122.060236511,832.373859374726,6.92940498433042e-182
"106",-1.93271055192001,"+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,15,106076.011298252,-212121.902114576,832.531981308857,6.4026564950911e-182
"107",-1.92957023797318,"+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,NA,NA,15,106075.977934361,-212121.835386793,832.598709091952,6.19256321134548e-182
"108",-1.92937724468433,"+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,15,106075.879179055,-212121.637876182,832.79621970281,5.61024160036729e-182
"109",-1.92497569205668,"+","+","+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,15,106075.793528904,-212121.46657588,832.96752000571,5.14972663753452e-182
"110",-1.92178345482722,"+","+","+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,NA,15,106075.758404234,-212121.396326541,833.037769344432,4.97198404073686e-182
"111",-1.9436435063876,"+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,16,106076.133049523,-212120.129518579,834.30457730667,2.63903938783186e-182
"112",-1.94054797516624,"+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,NA,16,106076.100036215,-212120.063491962,834.370603922842,2.55333838772839e-182
"113",-1.93547929808247,"+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,16,106076.020660678,-212119.90474089,834.529354995582,2.35850074174397e-182
"114",-1.93529293144511,"+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,16,106075.921567188,-212119.706553909,834.727541976463,2.13599514424117e-182
"115",-1.93214133034983,"+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,16,106075.887021632,-212119.637462797,834.79663308867,2.06346599686619e-182
"116",-1.92770969838497,"+","+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,NA,16,106075.801160175,-212119.465739883,834.968356002617,1.8936868339758e-182
"117",-1.94645281668293,"+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,17,106076.14259127,-212118.131490928,836.302604957134,9.71806233606354e-183
"118",-1.93804282471445,"+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,17,106075.929367762,-212117.705043912,836.729051972972,7.85195654813496e-183
"119",-1.93955704937898,"+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,18,106076.201108918,-212116.23040171,838.203694175172,3.756327087072e-183
"120",-1.91613171679854,"+","+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,18,106076.038926785,-212115.906037444,838.528058441443,3.19395355482214e-183
"121",-1.93118734246022,"+","+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,18,106075.987588686,-212115.803361246,838.630734638922,3.03411993225827e-183
"122",-1.92707878371549,"+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,19,106076.160487264,-212114.130019754,840.30407613123,1.31422963282249e-183
"123",-1.92207589109404,"+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,19,106076.08189361,-212113.972832446,840.461263439618,1.21489421750028e-183
"124",-1.91883149163474,"+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,NA,NA,NA,19,106076.046407748,-212113.901860723,840.532235162711,1.17253860675949e-183
"125",-1.93301861513786,"+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,20,106076.203028947,-212112.194949576,842.239146309206,4.99431700700174e-184
"126",-1.92980754601705,"+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,NA,20,106076.1680985,-212112.125088682,842.309007203294,4.8228749860158e-184
"127",-1.92474304677104,"+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,20,106076.089223317,-212111.967338316,842.466757569724,4.45708532202838e-184
"128",-1.93569190301281,"+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,21,106076.210529856,-212110.188782187,844.245313698717,1.83164958365879e-184
"129",-1.92891069437493,"+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,22,106076.268620137,-212108.282777111,846.151318774064,7.06250304753367e-185
"130",-1.91610987445732,"+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,"+",NA,NA,NA,23,106076.125794945,-212105.973923894,848.460171991173,2.226371030711e-185
"131",-1.92693627158526,"+","+","+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,24,106076.247048999,-212104.192211205,850.24188467997,9.13489474889578e-186
"132",-1.91875822596847,"+","+","+","+","+","+",NA,"+","+","+",NA,NA,"+",NA,NA,NA,24,106076.133127844,-212103.964368895,850.469726989948,8.15132518183906e-186
"133",-1.92967656497798,"+","+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,25,106076.254536086,-212102.181945851,852.25215003427,3.34333559866604e-186
"134",-1.92208038380345,"+","+","+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,26,106076.31470738,-212100.27602941,854.158066475618,1.28918568897871e-186
"135",-1.11996047907351,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105812.715817172,-211617.421621828,1337.01247405732,1.81891786342703e-291
"136",-1.10954689698036,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105812.841080289,-211615.667138043,1338.7669578419,7.56539790817422e-292
